user_name,age_range,review,review_star,list_of_recommends
claudialabertha,19 - 24,"Beli sunscreen ini gara-gara waktu pergi kelupaan gak bawa sunscreen yang biasa ku pake. Akhirnya daripada gak pake sunscreen beli lah merk ini (karna sunscreen yg biasa aku beli juga kebetulan kosong di drugstore nya) Ternyata setelah pakai, aku gak cocok sama sekali sama teksturnya. :( Baru pake 3 hari aja jadi isinya masih baaanyak bgt. Yang minat bisa chat yaa",2,No
dessyyntsss,19 - 24,"sunscreen pertama yg aku pakai tahun 2018, ternyata kurang suka karena sangat berminyak banget, harus pakai bedak biar ga lengkep banget. tapi karena males ngabisin jadi aku kasih ke teman aja. dan sekarang udah nemu ss yg lebih bagus dari ini.",2,No
cindyadiraa,18 and Under,"ini sunscreen yang paling susah meresap di selama aku pakai, dan buat whitecase berminyak gtu dimuka ku. jujur aku gasuka karna selain susah meresap dia cepet banget luntur, dan susah di blend sama foundie yang mau aku pakai setelahnya...",2,No
dinziy,18 and Under,"aku pakai ini beneran rasanya sama banget seperti sunscreen emina. karena ssnya lumayan thick jadi setelah pemakaian selama kurang lebih 2 jam, kulitku udah kerasa berat banget. apalagi, aku tipe orang yang cepat sekali keringatan wajahku jadi makin kusam dan menggelap. untuk harga sangat murah tapi kualitas produknya aku kurang suka:(",2,No
mrnsyifa,19 - 24,"Sunscreen pertama aku tapi ga cocok huhu. Dari awal make udah ngerasa kalo bikin komedeoan dan bikin ada jerawat gitu, tapi masih tetep aku pake karena ga ngira kalo dari si sunscreen ini. Sampe akhirnya aku ganti sunscreen, udah deh gaada lagi komedo dkk nya",2,No
ktieee,19 - 24,"Aku sedih bangett stelah pke ini, liat harga sih happy krna murah dan spf nya juga cukup buat protection sehari-hari. But setelah aku pake sekitar semingguan aku ngerasa ko jadi kusam ya, tapi aku lanjut pke stelah itu muncul bruntusan dilanjutkan dengan jerawat jd kuputuskan untuk berhenti. So sorry wardah spertinya aku tidak cocok pke sunscreen yg ini🥺",2,No
fahirahsb,19 - 24,"ini sunscreen pertama yang aku coba, abis nyoba pake ini aku jadi males pake sunscreen karna ini tuh buat lengket, terus kulit muka makin banyak minyak nya jadi nya buat muka makin kusam, udah gitu muncul bruntusan di kulit muka aku, aku ga recommend sih buat sunscreen ini",2,No
decit,18 and Under,"ini sunscreen pertamaku dan setelah pake ini jujur aku jadi males nyobain produk2 sunscreen yang lain😭. bikin mukaku cepet bgt minyakan, kerasa lengket, kalo whitecast sebenernya ada tapi bakal nyerap cuma lumayan lama aja. tapi di aku yang oily, maaf bgt aku ga bakal repurchase.",2,No
rizkaaulia9,19 - 24,buat yg kulitnya berminyak berjerawat menurutku jgn pake ini. karna ini malah nambahin minyak dimukaku. gk cepet meresap juga. trs muka aku jadi tambah jerawatan pake ini:( aku juga gk suka bau nya sih:(,2,No
angginary,19 - 24,"bikin wajah banjir minyak dan kayak kilang. sedih banget padahal banyak yang lebih cocok.. padahal waktu itu kulit aku tergolong normal cenderung kering, gak gampang minyakan juga.. tapi ya hasilnya seperti itu.",2,No
reidyreidy,25 - 29,"Masih terlalu heavy utk kulit kombinasiku, padahal judul nya sunscreen gel, pemakaian dlm waktu 1-2 jam aja lsg berminyak bgt. Jadi bikin ngga nyaman dn kerasa berat. Ada sedikit whitecast tp gak yang sampe cemong bikin muka abu abu, murah bgt sih tp, di kulit ku aman gak bikin bruntusan.",2,No
nixiefb,19 - 24,"Aku tipe orang yang bisa di bilang cukup cocok cocok aja sama produk apapun tapi kali ini sih wow, agak beruntusan dan gatel gitu pas beberapa menit di pake. Awalnya aku mikir oh mukin emang gitu kali. Tapi ternyata makin lama makin gatel. Tp karena kepo aku pake sampe setengah dan ternyata emg ga cocok.",2,No
ryuni15,25 - 29,"Banyak banget yang nanya ke aku, apakah musim hujan gini tetap pakai sunscreen? Kan gak ada matahari.

Kalau aku sih tetap pakai sunscreen. Matahari itu selalu ada hanya saja mata kita yang gak bisa melihatnya. Meskipun didalam rumah, cuaca mendung aku tetap pakai sunscreen dan reapply sunscreen.

Salah satu sunscreen yang aku pakai yaitu 𝑾𝒂𝒓𝒅𝒂𝒉 𝑺𝒖𝒏 𝑪𝒂𝒓𝒆 𝑺𝒖𝒏𝒔𝒄𝒓𝒆𝒆𝒏 𝑮𝒆𝒍 𝑺𝑷𝑭 30. Seperti namanya, teksturnya gel berwarna putih susu jadi bukan gel yang transparan. Cukup mudah di blend dan butuh waktu agar produk meresap maksimal. Ada sensasi dingjn ketika diaplikasikan. Aromanya masih bisa ditoleransi. Produk dibungkus dalam kemasan tube plastik.

Cukup susah sebenarnya untuk bilang suka atau tidak dengan produk ini. Gini deh... 
Teksturnya aku suka banget, sensasi dinginnya juga gak yang lebay. Selama ini pun aku gak ngerasain efek bruntusan atau yang lainnya. Tapi dia ada efek tone up yang bikin kulit jadi abu-abu. Plus kalau agak lama muka jadi kilang minyak.

Jadi aku simpulkan, sunscreen ini cocok dipakai untuk dirumah aja. Berhubung harganya murah dan bisa dijangkau bagi aku.",2,No
olinlyn88,19 - 24,produk ini di aku yang oily sensitive skin sih kurang ngaruh dan agak berminyak juga yah dari segi harga memang murah dan terjangkau dari segi tekstur dan packaging ini udah melebihi harga produk itu sendiri sih cuma untuk yang dry skin boleh dicoba,2,No
desyari,25 - 29,"pake ini hampir 3 tahun sih karena murah, rasanya ga aneh2 tapi juga ga ada perubahan apa2 hehe, dulu gatau merk sunscreen yang aneh jadi pakenya wardah aja, tapi emang dia sedikit lengket dan lumayan lama meresap, terus karena sekarang tau merk yg lain dan ternyata ada sunscreen yg meresap kaya pelembab jadi skrg ga pake wardah lagi, tapi lumayan sudah menemani aku selama 3 tahun",2,Yes
Vhya_Ahmad,30 - 34,"kalau gak salah ini Suncreen pertama yang aku coba karena waktu itu brand Wardah ini lagi booming gitu, teksturnya ini lumayan ringan seperti pelembab yang versi light, harganya juga terjangkau; sayangnya buat muka aku yang berminyak dia jadi lumayan tambah bikin kilang minyak dan bikin jerawatan juga, saat di pakai ada sensasi agak panas gitu, tapi tetap aku coba sampai habis satu tube ternyata emang gak cocok di kulit aku; padahal sudah ekspektasi tinggi dengan produk keluaran brand ini karena banyak yang suka gitu.",2,No
xixiaaa,19 - 24,"aku pakai ini karena kepepet gabawa sunscreen waktu itu, dan efeknya ga ngenakin bangett huhu. pas dipakai tuh kerasa agak panas, tapi aku biarin. karena ga tahan aku cuci, taunya kulit aku iritasi gatau kenapa bisa gitu. di bagian mukosa hidung sama mulut jadi perih banget. terus bagian tulang pipi kulitnya ngelupas tipis tipis gitu dan memang kalau pakai produk yang bahannya terlalu keras dikulit aku, efeknya kaya gitu",2,Yes
JejeFauziah,18 and Under,"no:(, too oily dan ada whitecast nyaaa, teksture nya juga menurut ku terlalu padet banget pas di pake ke muka kaya berat gitu susah di blend ke muka jugaaa tapi harganya murah si bunnn, buat pemula bisa lah",2,No
jeaaa,25 - 29,"Sunscreen pertama yang aku coba tapi malah bikin muka ku jadi abu hehe, jadi setelah pake sunscreen ini kan biasa nya aku timpa cushion eh udahnya muka ku jadi abu kayak gelap gitu paham ga sih hahaha. Cukup berminyak ya di muka ku yang kombinasi ini",2,No
asihaty28,18 and Under,"Aku setiap pake produk pasti morethan 6 month :) dan aku cukup menyayangkan kepositive-an thingking ku terhadap sebuah produk. sering banget maksain kulit buat Nerima kepositive-an ku tadi. jadi, yang aku rasain pas pake sunscreen ini tentu yang plg ""berkesan"" wajahku jadi kusam banget terus picky padahal aku cuma pakai buat di sekolah aja.Terus juga beberapa jam sekali aku selalu cuci muka dan re-apply tapi tetep kusam kaya ngga cuci muka. Terus, bikin jerawatan. Jadi, No for purchase again :)",2,No
Aifaa,19 - 24,"aku ga cocok pakai ini. di wajah terasa sangat tebal dan lengket. setelah pakai produksi minyak jadi lebih banyak dan bikin muka kusem. ga bisa nyatu dengan make up juga, lumayan susah buat blend nya. wanginya strong. dan setelah pakai ini, bruntusan dan jerawat numbuh banyak. so sad :(",2,No
Soyy,18 and Under,"Menurut aku sunscreen ini bagus, ada efek instant glowing nya. Cuma sayang kalau untuk kulitku yang oily + acne prone gak cocok malah bruntusan. Mungkin karena aku kurang cocok sama aloe Vera juga kali ya. Awalnya aku kira cocok² aja, tapi setelah pemakaian 3-4 minggu muncul bruntusan dan terus bertambah. Tapi kayaknya produk ini cocok untuk yang gak masalah sama kandungan aloe vera. ",2,No
fairuzacitraa,19 - 24,"Abis 2 tube emina, aku coba yg ini ternyata bikin oily dan gak enak dimuka aku kerasa berat bgt, dan lengket kalo ga salah ini udah lama sih aku juga lupa gimna, tapi kalo buat yg oily aku ga nyaranin ini sih, soalnya bikin muka jadi ga nyaman, kalo ga meresap dgn baik jg ditimpa makeup jadinya geser. Oiya agak bruntusan sih aku make tp gak yg gmna2 gitu.",2,No
Faridarian,30 - 34,ini sunscreen pertama saya. yang enggak cocok di muka saya. whitecast. pake diatas pelembab brudul. dan sukses bikin muka saya nimbul jerawat.. tapi ga tau muka saya ini ga cocok sama brand wardah. sampe pake yg serie ungu buat anti aging itu pun day creamnya bikin saya jerawatan,2,No
Prainindya,19 - 24,di aku dia munculin bruntusan. padahal aku makenya juga ga banyak banget. dia ada whitecase nya jadi kalo dimuka aku keliatan agak abu abu. pas diaplikasikan dia agak lengket dan ga terlalu bisa menyatu dikulitku,2,No
dkitten,19 - 24,"Aku gak paham kenapa tapi aku pake ini gak lebih dari sebulanan soalnya di kulitku malah jadi risih, lengkep dan putih-putih bercak begitu bikin muka ku yang gampang komedoan makin jelas komedonya, kurang dari sebulan jerawatku jadi ngawur akhirnya gak aku lanjutin dan sunscreennya yang salah atau aku yang salah.",2,No
bilol,18 and Under,"hai gais ini ss pertamaku, aku di kasih tau kakaku katanya bagus tapi pas aku coba beli teksturnya lebih ke cream gitu susah diblend bikin kulit jadi berminyak parahhh, dan kusem baunya aku nggak suka banget dan ini harganya tergolong murah 35k tp gimana kalo nggak cocok ini aja masih sisa banyak banget😭",2,No
ditaandre_,18 and Under,"Karna saya ingin mencobakan produk yang berkualitas ini dan bermanfaat buat saya dan orang lain, semoga banyak yang meriview produk ini dan bisa membantu banyak orang. Semoga berguna bagi orang banyak.",2,Yes
Aniirmayt,19 - 24,Whoah! Big no! :( greasy parah. Lengket. Berat banget dikulit. Apalagi yang kulitnya berminyak. Siang-siang bisa buka pertamina kali 🙂 sanking berminyaknya. Untungnya gabikin kulit jadi breakout karna kelebihan minyak diwajah. Repurchase? Jelas tidak.,2,No
Nurul29,19 - 24,"aku gk cocok sama produk ini. selain bikin gatal di muka, bikin berminyak juga. gk tau kenapa pakai dia jerawat ku gk berhenti-berhenti. dari yang sekecil kerikil sampai segede batu. murah sih, aku cukup lama bertahan dengan dia karna harganya",2,No
nurjanahnuy,30 - 34,sunscreen wardah ini lengket bikin gerah kalo kata aku...aku si ga ngerekomendasiin yg kulitnya oily...beli karena murah hihihi dan pengen nyobain aja ...abis pake si sunscreen aku timpa bedak tabur...aku pake 2 ruas jari dan dy tu meninggalkan whitecast hick ;(,2,No
iyyaah,18 and Under,"aku kurang suka karna pas di aplikasikan kayak lengket gitu dan dia lama meresapnya, bikin kulit aku keliatan agak kusam dan satu lagi, kalo kebanyakan dan ngebland nya gk rata bisa keliatan putih² gitu. kurang nyaman pas dipake. tp di aku agak ngelembabin soalnya ada kandungan aloe vera nya",2,No
deborakh,30 - 34,"menurutku texturenya lengket gitu pas di aplikasiin ke muka dia lama gitu untuk nyerepnya,terus muka rasanya kayak tebel wkwkwks, baunya sih ga mengganggu, kalo kena panas buset dah lengket bangett rasanya, menurutku ya krg nyaman aja pakenya sih",2,No
kaksaskie,30 - 34,"nyobain karena harganya murah, halal dan ternyata ga cocok. Langsung jerawatan dong begitu sekali pakai, aku cobain pakai berkali kali malah jerawat makin banyak,mungkin karena kulit muka aku terlalu sensitif. Alhasil aku pakai buat di tangan dan kaki kalau lagi mau keluar rumah.",2,No
dwiratnaaap,18 and Under,"kukira ini cocok dimuka ku yang emang waktu itu first time skincare, so I decided to buy sunscreen Wardah, awalnya kukira dia gak bakal bikin iritasi. Setelah beberapa lama mukaku malah jadi kilang minyak, dan bruntusan di pipi serta dahi.",2,No
Nikenvaulina,19 - 24,"Awal nya iseng aja beli karna sunscreen aku habis, dan pengen coba dari wardah ini :) ternyata aku gasukaaaaa karna lama kelamaan di pake malah buat kusam trus jadi berminyak banget parah bgt dan keluar bruntusan",2,No
Natabi,30 - 34,"Sayang sekali sunscreen ini gak cocok di aku, gak sesuai ekspektasiku. Efek ke kulit jadi lengket, kurang nyaman sih di aku, terus kulitku jadi kusam.. kayak menggelap gitu abis pake ini. Personally, aku lebih suka sunscreen yg gak lengket.",2,No
mutiautin,25 - 29,"Dulu sebelum banyak sunscreen bermunculan ini adalah sunscreen andalan. Tapi sunscreen ini lengket, tacky, dan berat di wajah padahal aku pake dikit aja. Tapi sekarang ganti kemasan dan katanya yg kemasan baru formulanya lebih ringan. Jadi tertarik mau coba lagi",2,No
Valianagam,19 - 24,"sunscreen ini doesn't work on me. pas dipake kulit ngerasa tebel dan lama kelamaan jadi greasy berminyak gitu. mungkin spf nya juga kurang jadi muka tetep belang. repurchase? no, mau nyari sunscreen yang lain yang lebih light dan cocok",2,No
aumidr,19 - 24,"dulu waktu awal nyoba sunscreen aku pake si wardah ini, gasukaaaaa karna lama kelamaan di pake malah buat kusam trus jadi berminyak bangettt :( selama aku pake ini gangefek apa² sih, aku ngerasa kulit aku juga kurang terlindungi gitu. gapaham susah banget cocok sama brand wardah",2,No
marsyardini,19 - 24,this is a no no!!! HUAAAAA😭😭😭 bukannya bikin aku terhindar dari kegosongan akibat paparan sinar matahari malah bikin makin gosong :') dia juga di kulit bikin abu2 dan rasanya lengket bangettt😢 pake ini tuh di muka bikin berminyak dan kusam,2,No
desimulya,25 - 29,"engga cocok sama suncreen ini, waktu itu beli dadakan cari yg murce krn lupa bawa suncreen pas luar kota. Ga nyaman bgt dipakenya wajah jadi super minyakan dan area sekitar lipatan hidung jadi panas2 perih gimana gitu. Rasanya sama persis sama suncreennya si eminaa",2,Yes
belladwis,19 - 24,nggak sukaaa. agak susah ngeratainnya. lama nyerepnya. dan habis pakai ini wajah jadi keliatan berminyak banget. belum sampe habis 1 botol. sekarang udh ganti pake ss yang lain. ss yang sekarang nggak bikin muka berminyak. berarti emang aku yang nggak cocok sama si wardah ini,2,No
anandandha,19 - 24,"so sad :( ketika banyak yang rekomendasiin buat sunscreen yang ringan aja karena lagi WFH ga banyak keluar. akhirnya mutusin buat nyoba ini sayangnya, di kulit aku bilin bruntusan :( baru 3/4 kali pake daerah idung pipi sama jidat aku tiba-tiba banyak bruntusan juga komedo putih.",2,No
raraahzr,18 and Under,"awal pindah sunscreen ke ini wajah jadi breakout, sebenernya adem, tapi diaku ada whitecastnya trus muka jadi kusemm😭😭 terlalu seuprit banget isinya diaku😭 belum ada 2 minggu udah abis aja😭 yaudah ganti sunscreen yang lain aja wkwk🥰",2,No
Kazunyan,25 - 29,"Punya kenangan yg agak buruk dari produk ini. Testurnya lengket dan bikin muka jadi kilang minyak. Dari segi bau juga agak sedikit menyengat, aku kurang suka. Memang dari segi harga sih affordable yaa. Tapi untuk repurchase kayanya big no deh. Maapkeun huhu",2,No
Ajeng6661,19 - 24,"Lembab sih , tapi produk Wardah tidak halal di aku 😭 Selalu bikin jerawatan & clogged pores.. Sedih banget.. Kalian gapapa deh ngeluarin duit yang lebih banyak , daripada resiko buat kulit kalian kan duh sayang banget.. Oiya ini oily banget di aku",2,No
diana_ilyas,19 - 24,"kurang cocok diaku, karena meninggalkan kesam greesy dan jadi keling banget...yang mana aku kurang suka dengan finishing seperti itu. Makeup jadi lebih cepet ngeoksidise juga. Apalagi skintype aku yang oily-combination. Waktu diaplikasikan terasa berat dibandingkan dengan sunscreen yang lainnya...",2,No
inutamara,19 - 24,Sunscreen ini ga cocok di wajah aku. Bikin muka kelihatan kusam dan berminyak parah. Bikin jerawatan makin banyak. Kurang suka sama aromanya juga. Pas di pakai itu kerasa banget kalo lengket di wajah.,2,No
Lalala24,19 - 24,"Buat aku sunscreen ini engga worth it sih, karna memang kulit aku oily dan suka aktivitas di luar ruangan yang bikin berkeringat, wajah jadi berminyak banget, jadi kayak kusam dan risih aja gitu. mungkin cocok bagi yg tipe dry skin ya",2,No
Ilyy,19 - 24,"Umm no no for me. Teksturnya thick. Kalau di aplikasikan ke wajahku, hasilnya lengkett dan lama banget nyerap di wajahku. Kebetulan aku termasuk oily skin, ini cepat banget bikin wajahku greasy yang lama kelamaan malah jadi kusam :( Kurang cocok untuk di wajahku.",2,No
cahyassyura,19 - 24,Pernah pake produk ini waktu dulu dan gacocok di kulit ku. Pas beberapa kali pemakaian langsung muncul jerawat dan kalau dipake ninggalin whitecase gitu di wajah. Tapi untuk harga sunscreen ini oke cocok banget untuk kantong anak remaja dan jadi basic skincare!,2,Yes
yustikalarasati,Null,"Jujur kurang suka sama productnya. Untuk sebuah sunscreen teksturnya terlalu thick sih.. post pemakaian sih lengket bangettt dan buat jadi gak nyaman. Nyerap ke kulit pun lama juga. Mungkin untuk kulit kering cocok sih, tapi buat kulit kombinasi Kaya aku sih kurang cocok.",2,No
Dewinrsyh06,19 - 24,"Sunscreen pertama kali yang aku pakai karna masih baru-baru coba pakai. buat kulitku ngga cocok banget, kulit wajah aku yang tadinya normal malah jadi berminyak parah dan lengket juga. sayang banget sih product wardah yang satu ini malah ngga cocok di kulit aku",2,No
nandyayunita,19 - 24,"sebelum mengenal dunia sunscreen dan masih awam bgt, aku beli wardah ini pertama kali. kesannya waktu nge-apply sumpah lengket banget dan aku gasuka baunya aneh gt. trs setelah pake 2 sampe 3hari gt mukaku malah ada bruntusan dan malah makin kusam abu2 gt(?) akhirnya aku stop pemakaian dimuka, cuma pake di jari2 kaki dan tangan ajaa",2,No
rosakrtk,19 - 24,"tidak begitu merekomendasikan produk ini. beli karena waktu itu coba coba masig nyari suncreen yang cocok. kerasa berat banget di muka dan bikin kusemmmmm banget. selain itu, dia juga bikin muka berminyak. kayanya emg ga berjodoh sama produknya wardag",2,No
nice_ima,35 - 39,"Wardah SPF 30 ini somehow ngga cocok dikulit aku. Teksturnya tidak cair dan susah diaplikasikan ke kulit. By the way I love their packaging design though. Problem SPF cream ini hampir sama di setiap brand, yaitu tone warnanya terlampau putih dikulit muka aku.",2,No
ksafinas,19 - 24,"bikin minyakan banget :( gatau lagi deh gasuka banget sama produk ini, dan lengket ga gampang nyerep, dari segi packaging udah lumayan si, mudsh dibaws kemana mana , alhasil karenaga dipake aku pake di tangan, teksturnya kentel banget, tapi aku rekomendasiin yang kulitnya kering banget sih ini bagus kayaknya",2,No
imyourpretty,19 - 24,"ga cocok, bikin muka tambah berminyak. muka aku waktu itu oily dipakein ini berasa kaya kilang minyak. tapi ini tahan banget sinar matahari. aku pake ini dulu kalo mau latihan paskibra dan mukaku masih adem pake ini.",2,No
vernandaas,19 - 24,"pake ini jaman sma buat latian paskib panas2an, gaa bgt deh di aku bikin minyakan parah dan tetep gosong juga:( trus si gel putih sama minyaknya(?) suka misah gituu. rada lengket. kita cukup sampai di sini",2,No
hakauworld,19 - 24,"Hell no untuk kulit oily, dia bentuknya cream (bukan gel sama sekali), pekat, susah di apply di muka. Begitu dipake langsung muka tampak oily dan mengkilap. Bagi yang kulitnya kering / normal, mungkin bisa cocok pakai sunscreen ini. Sunscreen ini punya saingan si emina (satu perusahaan), hanya saja wardah versi halal nya. Menurut saya, karena dia halal, dia ga pakai alcohol, sehingga terasa berat dan susah menyerap dikulit. Buat yang kulitnya oily boleh pakai emina saja. Tapi ini harganya terjangkau sekali, boleh juga untuk pemakaian hari2 jika ga kena matahari lama.",2,No
Kakachang,25 - 29,Aku dulu penggemar produk wardah karena low budget. Cuma utk hasilnya ya so so. Sunscreenny g cocok di kulit aku. Bikin minyakan. Tapi aku tetep lanjutin pemakaian karena Masi cari2 sunscreen yg cocok di aku buat wajah berminyak. ,2,No
nadiahhumairoh,19 - 24,"Gak begitu suka sama tekstur nya. Susah ngeresapnya jdi pasti luntur klo kena air atau keringat. Gak nyaman banget. Pori2 berasa ketutup juga. Berat dipakenya. Aromanya juga biasa aja. Spf juga kurang klo buat kegiatan outdoor, soalnya varian nya cuma ada ini aja setahuku. Cmiiw",2,No
febrina_ms,25 - 29,Banyak yg bilang produknya bagus dan harganya yg affordable jadi tertarik buat cobain. Tpi pas aku cobain malah bikin kulit aku jadi beruntusan parahhh dan bikin wajah aku jadi berminyak kusam gitu nggak banget pokoknya. Mungkin karna ada kandungan alkoholnya jadinya bikin beruntusan di beberapa orng huhu,2,No
dafinaajeng,19 - 24,"Sunscreen pertama ku, pas jaman-jaman Sekolah dulu, 2 tube abis waktu itu. Tekstur nya kyk cream gitu dan diwajah ku agak bikin berminyak. Walau udah ditimpa sama bedak masih berminyak gitu. Makin lama makin kayak kilang minyak. Tapi kelebihan produk nya dia ga bikin abu2 (karena dia chemical sunscreen) dan ga bikin jerawatan atau bruntusan gitu sih di aku. Harga nya murah cocok buat pelajar yang masih cari-cari sun screen",2,Yes
nan_88,25 - 29,"Pertama kali saya pakai sunscreen, ya wardah ini. Buat pengaplikasiannya kurang oke, meresapnya lama. Wanginya biasa aja..Biasanya saya cocok sama produk wardah, tapi sepertinya kalau sama yang ini nggak cocok. Dimuka berasa panas banget setelah pakai.",2,No
clariza_putri,19 - 24,"beli ini karna mulai sadar akan pentingnya sunscreen buat wajah, akhirnya coba sunscreen dari wardah ini karna ya cukup terjangkau harganya dan gampang ditemuin dimana mana. tapi yang gak aku suka, setelah pakek malah bikin mukaku greasy banget, lengket, terus mengkilap banget kalo pakek ini harus diset pakek bedak tabur biar gak keliatan mengkilap. mau ganti sunscreen lain deh",2,No
rahmadhess,19 - 24,"pake ini karena mulai sadar kalo aku udah jadi abg jd pengen ngerawat diri dan memutuskan buat beli sunscreen ini, harganya murah dan ada dimana mana wanginya jg enak. cuma sayang di mukaku jd break out udah gitu kurang nyerapnya padahal teksturnya ringan bgt",2,No
chintyachristina,25 - 29,"Sunscreen ini teksturnya cream berwarna putih. Hasil pemakaian, wajahku kelihatan berminyak, tapi bisa dilayer dengan make up. Wanginya aku kurang suka. Setelah pemakaian beberapa hari, wajahku ada nambah jerawat, jadi aku stop pemakaian.",2,No
zahradisyi,19 - 24,"Bikin wajah jadi semakin greasy. Karena tipe kulit saya normal to oily, jadi nya nggak cocok. Mungkin yang kulitnya dry bisa nyoba. Tapi resiko tanggung sendiri. repurchase? no, sorry. Bisa coba adiknya wardah.",2,No
lailasss,19 - 24,"untuk kulit ku yang berminyak dia bikin tambah berminyak hiks. Selama aku coba produk2nya wardah mungkin ini yang paling menganggu bau nya menurutku, karena memang di ingredient nya terdapat Fragrance, menyengat seperti pada beberapa skincare nya wardah. ⁣⁣
⁣⁣
Namanya ""Gel"" tapi teksturnya bukan gel, seperti lotion yang milky berwarna putih, tidak terlalu kental juga tidak terlalu cair. Ringan diwajah, tidak pedih dimata, mudah dibilas, no whitecast, tapi sayang diwajahku dia bikin kilang minyak dan kusam. Setelah dibilas pun wanginya masih ada. Entah kenapa setelah dibilas lembab nya enak jadi ku pakai lah dia dibadan hehe daripada mubazir kan? ⁣⁣",2,No
krsgur,19 - 24,"pertama kali coba di tangan, tangan aku langsung merah tapi belom menimbulkan efek perih, akhirnya aku coba di muka aku, muka aku langsung merah perih trus lama kelamaan juga jadi minyakan muka aku, karna minyak berlebih jadi kusam",2,No
sabilaed,19 - 24,"pakai sunscreen ini kulit wajah makin kusam tapi sempet maksa nerusin karna ga ada sunscreen lagi, alhasil muka makin kusam, berminyak, kucel deh kliatannya, teksturnya creamy warna putih susah nyerap dannn ada whitecastnya heuu",2,No
taniaaja,18 and Under,"Ini sunscreen pertamaku, (+) alcohol free, harga affordable, no white cast, dan mudah dijangkau dan (-) di mukaku greasy bgt, nyerapnya lama bgt, tubenya ga efektif, jadi sering kebanyakan keluarnya kalo mau dipake. Repurchase? Engga, there are many sunscreen better than dis^_^",2,No
xxxjw,18 and Under,"Mungkin produk ini cocok untuk kalian,tapi menurutku ga cocok di aku.Awal pake ini karena butuh sunscreen biar ga tambah belang muka ku(iya karena dulu ikut kegiatan disekolah dari siang sampe sore) mukaku kusem dan berminyak bangettt pake ini dan yang pasti bruntusan setelah make ini:"").",2,No
anastawury,30 - 34,Sunscreen pertama yang aku coba dimuka aku. tipe skin kering berminyak sensitif. pakai ini langsung muncul jerawat dan muka auto minyakan + kusem. mungkin ada kandungan yang diwajah aku ga support. jadi tidak repurchase deh ,2,No
aisyafas,19 - 24,"dulu pake ini pas jaman2 sma-maba pas belum ngerti soal skincare jd ngerasa cocok2 aja, akhirnya baru ngeh kalo tiap pake ini muka jd keliatan kusam dan hinyai, dan berasa berat di wajahku, teksturnya jg lumayan thick menurutku dan agak greasy, jadi stop pake ini",2,No
andinrlamr,19 - 24,Gaktau kenapa tapi sejak pertama beli dan pake ini sunscreen rasanya panas banget kaya muka kebakar disusul lagi dengan munculnya bintik-bintik merah dan super gatel yg hasilnya malah bikin mukaku kusam dan kering banget. Aku gak rekomen sih,2,No
Tiak19,19 - 24,"Produk ini teksturnya semacam gel cream warna putih gitu. Ada wangi yang cukup nyegerin menurutku. Produk ini juga mudah banget untuk meresap ke kulitku dan memang ringan banget waktu dipakai. Sayangnya, setelah pemakaian 2-3 kali produk ini menimbulkan jerawat tanpa mata di wajahku. Setelah kuberhentikan penggunaan sunscreen ini, jerawatnya membaik. Overall dari segi tekstur dia bagus sih.",2,No
IskaAthar,25 - 29,"Aku beli ini karena di youtube banyak yg rekomendasiin utk jenis kulit kombinasi , dan paling penting harganya ramah di kantong . tpi bgitu pake , kena matahari nggak smpe dua menit aja muka aku memerah , gatal dan panas . begitu masuk ruang ber ac kulit aku jdi kering . mungkin krn kulitku kurang cocok kali yah xixixix . Re-Purchase ? Big No",2,No
azzaahraa,19 - 24,"Buat yg punya kulit oily, sunscreen ini big no sangaaat. Teksturnya cream warna putih tp mudan diblend. Aku setiap pake ini rasanya muka kayak gerah dan berat. After pake ini bener-bener muka jd berminyak dan kusam banget kayak skintoneku turun satu tingkat, wajib dikasih loose powder. Bbrp jam kemudian juga udh minyakan lg di daerah tzone. Gasukanya lagi kl abis wudhu dia luntur banget dan whitecast semuka😭 jd kayak ss ini ga nempel nyerep ke muka, cuma nempel dipermukaan doang. Kalo kena panas, muka aku emg gagosong bagus dia ngeprotectnya. Tapi langsung merah2 semuka.",2,No
ayuedisty,30 - 34,"bagi kalian yang kulitnya berminyak dan sensitif,gak banget deh pake ini produk!emang tekstur nya itu enak cream tapi gel yang mudah banget diaplikasiin.tapi diaku bikin muka tu kusam sama brutusan jadi keluar,nahan minyak si pling lama 2 jam aja udah minyakan lagi tu muka.gak cocok sama produk ini padahal harga nya murah",2,No
matchaul,19 - 24,Sunscreen yang bikin greasy dan minyakan poll di muka aku. Ada whitecastnya juga. Murah sih tapi kurang cocok untuk kulit aku yang oily acne prone ini.Untuk dry mungkin cocok ya untuk makai sunscreen ini.,2,No
Ideagoesvita,19 - 24,"Di aku awalnya aku ngerasa berminyak gitu sih, dan bener berminyak terus seharian di T Zone dan udah aku akalin pake loose powder dan oil paper masih ga ngaruh dong huhu, but overall affordable kok!!!",2,No
destiramadia,19 - 24,"gak cocok sama sekali di aku, ini amat sangat lengket after pemakaian makin muka ku berminyak makin lengket, di aku sih bikin jd gak nyaman mungkin bakal cocok untuk muka yg tipe nya kering karena beberapa temanku yg muka nya kering cocok pakek ini",2,No
